DATE,QSA_Ramp
9/03/1902,45000
10/03/1902,45000
11/03/1902,45000
12/03/1902,45000
13/03/1902,45000
14/03/1902,45000
15/03/1902,45000
16/03/1902,45000
17/03/1902,45000
18/03/1902,45000
19/03/1902,45000
20/03/1902,45000
21/03/1902,45000
22/03/1902,50000
23/03/1902,50000
24/03/1902,50000
25/03/1902,50000
26/03/1902,50000
27/03/1902,50000
28/03/1902,50000
29/03/1902,50000
30/03/1902,50000
31/03/1902,50000
1/04/1902,50000
2/04/1902,50000
3/04/1902,50000
4/04/1902,50000
5/04/1902,50000
6/04/1902,50000
7/04/1902,50000
8/04/1902,50000
9/04/1902,50000
10/04/1902,50000
11/04/1902,50000
12/04/1902,50000
13/04/1902,50000
14/04/1902,50000
15/04/1902,50000
16/04/1902,50000
17/04/1902,50000
18/04/1902,50000
19/04/1902,50000
20/04/1902,50000
21/04/1902,50000
22/04/1902,50000
23/04/1902,50000
24/04/1902,50000
25/04/1902,50000
26/04/1902,50000
27/04/1902,50000
28/04/1902,50000
29/04/1902,50000
30/04/1902,50000
1/05/1902,50000
2/05/1902,50000
3/05/1902,50000
4/05/1902,50000
5/05/1902,50000
6/05/1902,50000
7/05/1902,50000
8/05/1902,50000
9/05/1902,50000
10/05/1902,50000
11/05/1902,50000
12/05/1902,50000
13/05/1902,50000
14/05/1902,50000
15/05/1902,50000
16/05/1902,50000
17/05/1902,50000
18/05/1902,50000
19/05/1902,50000
20/05/1902,50000
21/05/1902,50000
22/05/1902,50000
23/05/1902,50000
24/05/1902,50000
25/05/1902,50000
26/05/1902,50000
27/05/1902,50000
28/05/1902,50000
29/05/1902,50000
30/05/1902,50000
31/05/1902,50000
1/06/1902,50000
2/06/1902,50000
3/06/1902,50000
4/06/1902,50000
5/06/1902,50000
6/06/1902,50000
7/06/1902,50000
8/06/1902,50000
9/06/1902,50000
10/06/1902,50000
11/06/1902,50000
12/06/1902,50000
13/06/1902,50000
14/06/1902,50000
15/06/1902,50000
16/06/1902,50000
17/06/1902,50000
18/06/1902,50000
19/06/1902,50000
20/06/1902,50000
21/06/1902,50000
22/06/1902,50000
23/06/1902,50000
24/06/1902,50000
25/06/1902,50000
26/06/1902,50000
27/06/1902,50000
28/06/1902,50000
29/06/1902,50000
30/06/1902,50000
