Date,Scenario A,Scenario B,Scenario C,Scenario D,Scenario E,Scenario F,Scenario G,Scenario H,Scenario I,Scenario J,Scenario K,Scenario L,Scenario M,Scenario N,Scenario O,Scenario P
10/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
11/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
12/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
13/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
14/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
15/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
16/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
17/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
18/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
19/12/2017,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,7580.645161,15012.90323,13512.90323,15012.90323,6864.516129,7074.193548,13512.90323,7580.645161,7580.645161
