Date,CR,L6,Pike,L5,Kat,L4
20/10/2017,19.87,19.95,14.55,16.75,12.77439024,13.8
21/10/2017,19.87,19.95,14.55,16.725,12.73170732,13.8
22/10/2017,19.87,19.95,14.55,16.7,12.68902439,13.8
23/10/2017,19.87,19.95,14.55,16.675,12.64634146,13.8
24/10/2017,19.87,19.95,14.55,16.65,12.60365854,13.8
25/10/2017,19.87,19.95,14.55,16.625,12.56097561,13.8
26/10/2017,19.87,19.95,14.55,16.6,12.51829268,13.8
27/10/2017,19.87,19.95,14.55,16.575,12.47560976,13.8
28/10/2017,19.87,19.95,14.55,16.55,12.43292683,13.8
29/10/2017,19.87,19.95,14.55,16.525,12.3902439,13.8
30/10/2017,19.87,19.95,14.55,16.5,12.34756098,13.8
31/10/2017,19.87,19.95,14.55,16.475,12.30487805,13.8
1/11/2017,19.87,19.95,14.55,16.45,12.26219512,13.8
2/11/2017,19.87,19.95,14.55,16.425,12.2195122,13.8
3/11/2017,19.813,19.88636364,14.55,16.4,12.17682927,13.8
4/11/2017,19.756,19.82272727,14.55,16.375,12.13414634,13.8
5/11/2017,19.699,19.75909091,14.55,16.35,12.09146341,13.8
6/11/2017,19.642,19.69545455,14.55,16.325,12.04878049,13.8
7/11/2017,19.585,19.63181818,14.55,16.3,12.00609756,13.8
8/11/2017,19.528,19.56818182,14.55,16.3,11.96341463,13.8
9/11/2017,19.471,19.50454545,14.55,16.3,11.92073171,13.8
10/11/2017,19.414,19.44090909,14.55,16.3,11.87804878,13.8
11/11/2017,19.357,19.37727273,14.55,16.3,11.83536585,13.8
12/11/2017,19.3,19.31363636,14.55,16.3,11.79268293,13.8
13/11/2017,19.243,19.25,14.55,16.3,11.75,13.8
14/11/2017,19.186,19.25,14.55,16.3,11.70731707,13.8
15/11/2017,19.129,19.25,14.55,16.3,11.66463415,13.8
16/11/2017,19.072,19.25,14.55,16.3,11.62195122,13.8
17/11/2017,19.015,19.25,14.55,16.3,11.57926829,13.8
18/11/2017,18.958,19.25,14.55,16.3,11.53658537,13.8
19/11/2017,18.901,19.25,14.55,16.3,11.49390244,13.8
20/11/2017,18.844,19.25,14.55,16.3,11.45121951,13.8
21/11/2017,18.787,19.25,14.55,16.3,11.40853659,13.8
22/11/2017,18.73,19.25,14.55,16.3,11.36585366,13.8
23/11/2017,18.673,19.25,14.55,16.3,11.32317073,13.8
24/11/2017,18.616,19.25,14.55,16.3,11.2804878,13.8
25/11/2017,18.559,19.25,14.55,16.3,11.23780488,13.8
26/11/2017,18.502,19.25,14.55,16.3,11.19512195,13.8
27/11/2017,18.445,19.25,14.55,16.3,11.15243902,13.8
28/11/2017,18.388,19.25,14.55,16.3,11.1097561,13.8
29/11/2017,18.331,19.25,14.55,16.3,11.06707317,13.8
30/11/2017,18.274,19.25,14.55,16.3,11.02439024,13.8
1/12/2017,18.217,19.25,14.55,16.3,10.98170732,13.8
2/12/2017,18.16,19.25,14.55,16.3,10.93902439,13.8
3/12/2017,18.103,19.25,14.55,16.3,10.89634146,13.8
4/12/2017,18.046,19.25,14.55,16.3,10.85365854,13.8
5/12/2017,17.989,19.25,14.55,16.3,10.81097561,13.8
6/12/2017,17.932,19.25,14.55,16.3,10.76829268,13.8
7/12/2017,17.875,19.25,14.55,16.3,10.72560976,13.76666667
8/12/2017,17.818,19.25,14.55,16.3,10.68292683,13.73333333
9/12/2017,17.761,19.25,14.55,16.3,10.6402439,13.7
10/12/2017,17.704,19.25,14.55,16.3,10.59756098,13.66666667
11/12/2017,17.647,19.25,14.55,16.3,10.55487805,13.63333333
12/12/2017,17.59,19.25,14.55,16.3,10.51219512,13.6
13/12/2017,17.533,19.25,14.55,16.3,10.4695122,13.56666667
14/12/2017,17.476,19.25,14.55,16.3,10.42682927,13.53333333
15/12/2017,17.419,19.25,14.55,16.3,10.38414634,13.5
16/12/2017,17.362,19.25,14.55,16.3,10.34146341,13.46666667
17/12/2017,17.305,19.25,14.55,16.3,10.29878049,13.43333333
18/12/2017,17.248,19.25,14.55,16.3,10.25609756,13.4
19/12/2017,17.191,19.25,14.55,16.3,10.21341463,13.36666667
20/12/2017,17.134,19.25,14.55,16.3,10.17073171,13.33333333
21/12/2017,17.077,19.25,14.55,16.3,10.12804878,13.3
22/12/2017,17.02,19.25,14.55,16.3,10.08536585,13.26666667
23/12/2017,16.963,19.25,14.55,16.3,10.04268293,13.23333333
24/12/2017,16.906,19.25,14.55,16.3,10,13.2
25/12/2017,16.849,19.25,14.55,16.3,10,13.2
26/12/2017,16.792,19.25,14.55,16.3,10,13.2
27/12/2017,16.735,19.25,14.55,16.3,10,13.2
28/12/2017,16.678,19.25,14.55,16.3,10,13.2
29/12/2017,16.621,19.25,14.55,16.3,10,13.2
30/12/2017,16.564,19.25,14.55,16.3,10,13.2
31/12/2017,16.507,19.25,14.55,16.3,10,13.2
1/01/2018,16.45,19.25,14.55,16.3,10,13.2
2/01/2018,16.45,19.25,14.55,16.3,10,13.2
3/01/2018,16.45,19.25,14.55,16.3,10,13.2
4/01/2018,16.45,19.25,14.55,16.3,10,13.2
5/01/2018,16.45,19.25,14.55,16.3,10,13.2
6/01/2018,16.45,19.25,14.55,16.3,10,13.2
7/01/2018,16.45,19.25,14.55,16.3,10,13.2
8/01/2018,16.45,19.25,14.55,16.3,10,13.2
9/01/2018,16.45,19.25,14.55,16.3,10,13.2
10/01/2018,16.45,19.25,14.55,16.3,10,13.2
11/01/2018,16.45,19.25,14.55,16.3,10,13.2
12/01/2018,16.45,19.25,14.55,16.3,10,13.2
13/01/2018,16.45,19.25,14.55,16.3,10,13.2
14/01/2018,16.45,19.25,14.55,16.3,10,13.2
15/01/2018,16.45,19.25,14.55,16.3,10,13.2
16/01/2018,16.45,19.25,14.55,16.3,10,13.2
17/01/2018,16.45,19.25,14.55,16.3,10,13.2
18/01/2018,16.45,19.25,14.55,16.3,10,13.2
19/01/2018,16.45,19.25,14.55,16.3,10,13.2
20/01/2018,16.45,19.25,14.55,16.3,10,13.2
21/01/2018,16.45,19.25,14.55,16.3,10,13.2
22/01/2018,16.45,19.25,14.55,16.3,10,13.2
23/01/2018,16.45,19.25,14.55,16.3,10,13.2
24/01/2018,16.45,19.25,14.55,16.3,10,13.2
25/01/2018,16.45,19.25,14.55,16.3,10,13.2
26/01/2018,16.45,19.25,14.55,16.3,10,13.2
27/01/2018,16.45,19.25,14.55,16.3,10,13.2
28/01/2018,16.45,19.25,14.55,16.3,10,13.2
29/01/2018,16.45,19.25,14.55,16.3,10,13.2
30/01/2018,16.45,19.25,14.55,16.3,10,13.2
31/01/2018,16.45,19.25,14.55,16.3,10,13.2
1/02/2018,16.45,19.25,14.55,16.3,10,13.2
2/02/2018,16.45,19.25,14.55,16.3,10,13.2
3/02/2018,16.45,19.25,14.55,16.3,10,13.2
4/02/2018,16.45,19.25,14.55,16.3,10,13.2
5/02/2018,16.45,19.25,14.55,16.3,10,13.2
6/02/2018,16.45,19.25,14.55,16.3,10,13.2
7/02/2018,16.45,19.25,14.55,16.3,10,13.2
8/02/2018,16.45,19.25,14.55,16.3,10,13.2
9/02/2018,16.45,19.25,14.55,16.3,10,13.2
10/02/2018,16.45,19.25,14.55,16.3,10,13.2
11/02/2018,16.45,19.25,14.55,16.3,10,13.2
12/02/2018,16.45,19.25,14.55,16.3,10,13.2
13/02/2018,16.45,19.25,14.55,16.3,10,13.2
14/02/2018,16.45,19.25,14.55,16.3,10,13.2
15/02/2018,16.45,19.25,14.55,16.3,10,13.2
16/02/2018,16.45,19.25,14.55,16.3,10,13.2
17/02/2018,16.45,19.25,14.55,16.3,10,13.2
18/02/2018,16.45,19.25,14.55,16.3,10,13.2
19/02/2018,16.45,19.25,14.55,16.3,10,13.2
20/02/2018,16.45,19.25,14.55,16.3,10,13.2
21/02/2018,16.45,19.25,14.55,16.3,10,13.2
22/02/2018,16.45,19.25,14.55,16.3,10,13.2
23/02/2018,16.45,19.25,14.55,16.3,10,13.2
24/02/2018,16.45,19.25,14.55,16.3,10,13.2
25/02/2018,16.45,19.25,14.55,16.3,10,13.2
26/02/2018,16.45,19.25,14.55,16.3,10,13.2
27/02/2018,16.45,19.25,14.55,16.3,10,13.2
28/02/2018,16.45,19.25,14.55,16.3,10,13.2
1/03/2018,16.45,19.25,14.55,16.3,10,13.2
2/03/2018,16.45,19.25,14.55,16.3,10,13.2
3/03/2018,16.45,19.25,14.55,16.3,10,13.2
4/03/2018,16.45,19.25,14.55,16.3,10,13.2
5/03/2018,16.45,19.25,14.55,16.3,10,13.2
6/03/2018,16.45,19.25,14.55,16.3,10,13.2
7/03/2018,16.45,19.25,14.55,16.3,10,13.2
8/03/2018,16.45,19.25,14.55,16.3,10,13.2
9/03/2018,16.45,19.25,14.55,16.3,10,13.2
10/03/2018,16.45,19.25,14.55,16.3,10,13.2
11/03/2018,16.45,19.25,14.55,16.3,10,13.2
12/03/2018,16.45,19.25,14.55,16.3,10,13.2
13/03/2018,16.45,19.25,14.55,16.3,10,13.2
14/03/2018,16.45,19.25,14.55,16.3,10,13.2
15/03/2018,16.45,19.25,14.55,16.3,10,13.2
16/03/2018,16.45,19.25,14.55,16.3,10,13.2
17/03/2018,16.45,19.25,14.55,16.3,10,13.2
18/03/2018,16.45,19.25,14.55,16.3,10,13.2
19/03/2018,16.45,19.25,14.55,16.3,10,13.2
20/03/2018,16.45,19.25,14.55,16.3,10,13.2
21/03/2018,16.45,19.25,14.55,16.3,10,13.2
22/03/2018,16.45,19.25,14.55,16.3,10,13.2
23/03/2018,16.45,19.25,14.55,16.3,10,13.2
24/03/2018,16.45,19.25,14.55,16.3,10,13.2
25/03/2018,16.45,19.25,14.55,16.3,10,13.2
26/03/2018,16.45,19.25,14.55,16.3,10,13.2
27/03/2018,16.45,19.25,14.55,16.3,10,13.2
28/03/2018,16.45,19.25,14.55,16.3,10,13.2
29/03/2018,16.45,19.25,14.55,16.3,10,13.2
30/03/2018,16.45,19.25,14.55,16.3,10,13.2
31/03/2018,16.45,19.25,14.55,16.3,10,13.2
1/04/2018,16.45,19.25,14.55,16.3,10,13.2
2/04/2018,16.45,19.25,14.55,16.3,10,13.2
3/04/2018,16.45,19.25,14.55,16.3,10,13.2
4/04/2018,16.45,19.25,14.55,16.3,10,13.2
5/04/2018,16.45,19.25,14.55,16.3,10,13.2
6/04/2018,16.45,19.25,14.55,16.3,10,13.2
7/04/2018,16.45,19.25,14.55,16.3,10,13.2
8/04/2018,16.45,19.25,14.55,16.3,10,13.2
9/04/2018,16.45,19.25,14.55,16.3,10,13.2
10/04/2018,16.45,19.25,14.55,16.3,10,13.2
