Date,Lock6,Lock5,Lock4,Lock3,Lock2,Lock1,Chowilla
14/06/1997,19.27706667,16.3357,13.22983333,9.819333333,6.143733333,3.237433333,16.4
15/06/1997,19.2777,16.3365,13.23076667,9.820266667,6.143833333,3.238966667,16.4
16/06/1997,19.27806667,16.33646667,13.23133333,9.820533333,6.142766667,3.2395,16.4
17/06/1997,19.27853333,16.33603333,13.23143333,9.820366667,6.1411,3.239233333,16.4
18/06/1997,19.2796,16.33636667,13.23186667,9.8205,6.139266667,3.238833333,16.4
19/06/1997,19.28123333,16.3371,13.23286667,9.8203,6.137966667,3.2384,16.4
20/06/1997,19.28256667,16.33813333,13.234,9.8202,6.136866667,3.238533333,16.4
21/06/1997,19.28266667,16.3393,13.2342,9.819833333,6.135666667,3.2382,16.4
22/06/1997,19.28286667,16.34026667,13.2336,9.819,6.135433333,3.2377,16.4
23/06/1997,19.2838,16.34213333,13.233,9.817333333,6.136533333,3.2378,16.4
24/06/1997,19.2848,16.34376667,13.2325,9.815233333,6.1358,3.2382,16.4
25/06/1997,19.28593333,16.345,13.23166667,9.812533333,6.132466667,3.2378,16.4
26/06/1997,19.28743333,16.34563333,13.2316,9.809933333,6.127433333,3.236833333,16.4
27/06/1997,19.28826667,16.346,13.2327,9.808866667,6.124133333,3.235966667,16.4
28/06/1997,19.28826667,16.34626667,13.23326667,9.8085,6.122066667,3.235333333,16.4
29/06/1997,19.28776667,16.34623333,13.23313333,9.809466667,6.1211,3.2339,16.4
30/06/1997,19.2865,16.3458,13.23213333,9.810633333,6.119566667,3.233,16.4
1/07/1997,19.28503333,16.34476667,13.23076667,9.811266667,6.118266667,3.2327,16.4
2/07/1997,19.2827,16.34333333,13.2292,9.8117,6.117633333,3.232733333,16.4
3/07/1997,19.27943333,16.34146667,13.22793333,9.812533333,6.118466667,3.2333,16.4
4/07/1997,19.27816667,16.3397,13.22696667,9.813866667,6.1194,3.234766667,16.4
5/07/1997,19.277,16.33786667,13.22653333,9.8143,6.1197,3.236033333,16.4
6/07/1997,19.2759,16.3363,13.227,9.814433333,6.118833333,3.237766667,16.4
7/07/1997,19.27346667,16.33423333,13.22693333,9.813833333,6.119,3.238766667,16.4
8/07/1997,19.27096667,16.3327,13.22633333,9.8131,6.1191,3.2394,16.4
9/07/1997,19.26813333,16.33086667,13.2254,9.8122,6.12,3.239833333,16.4
10/07/1997,19.26596667,16.32936667,13.22336667,9.811466667,6.1228,3.240533333,16.4
11/07/1997,19.2648,16.32763333,13.22076667,9.8105,6.1245,3.2415,16.4
12/07/1997,19.26476667,16.3267,13.21833333,9.809566667,6.125666667,3.242633333,16.4
13/07/1997,19.26486667,16.32626667,13.21716667,9.8089,6.126133333,3.244166667,16.4
14/07/1997,19.26426667,16.32563333,13.217,9.808366667,6.1267,3.245466667,16.4
15/07/1997,19.26366667,16.3251,13.2167,9.808466667,6.127033333,3.246666667,16.4
16/07/1997,19.26323333,16.32523333,13.21656667,9.809066667,6.127966667,3.248666667,16.4
17/07/1997,19.26233333,16.32596667,13.21716667,9.809666667,6.131133333,3.2508,16.4
18/07/1997,19.26036667,16.3259,13.2177,9.8101,6.1347,3.252266667,16.4
19/07/1997,19.25813333,16.3252,13.21763333,9.8106,6.137733333,3.253633333,16.4
20/07/1997,19.2561,16.32416667,13.21693333,9.810666667,6.139266667,3.254266667,16.4
21/07/1997,19.25416667,16.32286667,13.21596667,9.810666667,6.1395,3.255533333,16.4
22/07/1997,19.25253333,16.32166667,13.21496667,9.8106,6.1389,3.256733333,16.4
23/07/1997,19.2511,16.32093333,13.21396667,9.810366667,6.138233333,3.2573,16.4
24/07/1997,19.24933333,16.3202,13.21303333,9.810266667,6.1377,3.257433333,16.4
25/07/1997,19.24706667,16.31923333,13.21233333,9.809966667,6.137966667,3.257666667,16.4
26/07/1997,19.24473333,16.31823333,13.21166667,9.809566667,6.1397,3.257633333,16.4
27/07/1997,19.24266667,16.3173,13.21093333,9.809,6.142166667,3.2574,16.4
28/07/1997,19.24163333,16.3166,13.2101,9.8085,6.144066667,3.257433333,16.4
29/07/1997,19.24113333,16.316,13.20976667,9.8076,6.145433333,3.2578,16.4
30/07/1997,19.2414,16.31576667,13.20983333,9.806966667,6.146766667,3.258433333,16.4
31/07/1997,19.24186667,16.31613333,13.21013333,9.8067,6.1481,3.259166667,16.4
1/08/1997,19.24313333,16.31676667,13.21033333,9.8066,6.149033333,3.260066667,16.4
2/08/1997,19.2455,16.31743333,13.20996667,9.806233333,6.148466667,3.260633333,16.4
3/08/1997,19.24703333,16.3181,13.2094,9.805533333,6.1477,3.260466667,16.4
4/08/1997,19.2475,16.31876667,13.20896667,9.804566667,6.1477,3.259533333,16.4
5/08/1997,19.24693333,16.3193,13.20816667,9.803633333,6.1481,3.258466667,16.4
6/08/1997,19.2462,16.3191,13.2068,9.8028,6.1488,3.2573,16.4
7/08/1997,19.24556667,16.31813333,13.2052,9.8016,6.1497,3.256566667,16.4
8/08/1997,19.24616667,16.31793333,13.20416667,9.8005,6.1498,3.255833333,16.4
9/08/1997,19.24726667,16.31763333,13.20456667,9.799166667,6.148066667,3.254866667,16.4
10/08/1997,19.24883333,16.31856667,13.206,9.7979,6.1476,3.253733333,16.4
11/08/1997,19.2502,16.31993333,13.20813333,9.796933333,6.147533333,3.2521,16.4
12/08/1997,19.25146667,16.32156667,13.2099,9.7963,6.148633333,3.250433333,16.4
13/08/1997,19.25256667,16.32323333,13.21186667,9.796133333,6.150766667,3.248966667,16.4
14/08/1997,19.2538,16.32483333,13.21406667,9.796733333,6.153766667,3.248433333,16.4
15/08/1997,19.25496667,16.32613333,13.21686667,9.797533333,6.156366667,3.248766667,16.4
16/08/1997,19.25673333,16.32716667,13.2192,9.798833333,6.1561,3.249466667,16.4
17/08/1997,19.2589,16.32816667,13.22116667,9.800166667,6.154633333,3.250266667,16.4
18/08/1997,19.26053333,16.3291,13.22286667,9.801566667,6.152566667,3.250333333,16.4
19/08/1997,19.26196667,16.32986667,13.2246,9.803266667,6.151566667,3.2502,16.4
20/08/1997,19.2636,16.33083333,13.2265,9.805166667,6.1523,3.249633333,16.4
21/08/1997,19.26526667,16.33176667,13.2282,9.806866667,6.1539,3.2494,16.4
22/08/1997,19.26693333,16.33246667,13.2298,9.808533333,6.1555,3.249833333,16.4
23/08/1997,19.2686,16.3332,13.23103333,9.810266667,6.1566,3.2507,16.4
24/08/1997,19.27033333,16.3341,13.23176667,9.812233333,6.1565,3.2514,16.4
25/08/1997,19.2723,16.3348,13.23243333,9.8143,6.1555,3.252066667,16.4
26/08/1997,19.2743,16.33553333,13.23316667,9.8166,6.1542,3.252733333,16.4
27/08/1997,19.27636667,16.33656667,13.23413333,9.818933333,6.152866667,3.253333333,16.4
