Date,SA Only_ Ops - Daily Total Barrage Released (ML.day^-1)
2015-12-30,37.630000000000003
2015-12-31,28.949999999999999
2016-01-01,11.81
2016-01-02,13.19
2016-01-03,16.379999999999999
2016-01-04,20.550000000000001
2016-01-05,17.93
2016-01-06,12.380000000000001
2016-01-07,16.59
2016-01-08,18.68
2016-01-09,16.57
2016-01-10,18.550000000000001
2016-01-11,16.109999999999999
2016-01-12,16.18
2016-01-13,11.6
2016-01-14,4.4800000000000004
2016-01-15,14.18
2016-01-16,15.07
2016-01-17,13.99
2016-01-18,10.9
2016-01-19,14.869999999999999
2016-01-20,8.9299999999999997
2016-01-21,13.32
2016-01-22,11.369999999999999
2016-01-23,8.5199999999999996
2016-01-24,10.56
2016-01-25,11.15
2016-01-26,12.029999999999999
2016-01-27,6.6699999999999999
2016-01-28,2.1499999999999999
2016-01-29,5.4299999999999997
2016-01-30,11.5
2016-01-31,8.1400000000000006
2016-02-01,14.94
2016-02-02,21.460000000000001
2016-02-03,5.5700000000000003
2016-02-04,12.880000000000001
2016-02-05,17.079999999999998
2016-02-06,12.35
2016-02-07,9.5700000000000003
2016-02-08,12.02
2016-02-09,17.809999999999999
2016-02-10,168.22999999999999
2016-02-11,482.07999999999998
2016-02-12,547.48000000000002
2016-02-13,484.98000000000002
2016-02-14,464.98000000000002
2016-02-15,422
2016-02-16,362.60000000000002
2016-02-17,479.04000000000002
2016-02-18,501.02999999999997
2016-02-19,468.44
2016-02-20,521.5
2016-02-21,587.49000000000001
2016-02-22,721.69000000000005
2016-02-23,953.37
2016-02-24,1356.05
2016-02-25,1454.3499999999999
2016-02-26,1470.6099999999999
2016-02-27,1562.1400000000001
2016-02-28,1591.47
2016-02-29,2277.6199999999999
2016-03-01,3268.25
2016-03-02,2923.52
2016-03-03,2433.6700000000001
2016-03-04,1827.3699999999999
2016-03-05,1867.21
2016-03-06,1762.9400000000001
2016-03-07,1715.1199999999999
2016-03-08,1794.95
2016-03-09,1808.8
2016-03-10,2574.9499999999998
2016-03-11,3094.04
2016-03-12,2338.9899999999998
2016-03-13,2256.0300000000002
2016-03-14,1945.6700000000001
2016-03-15,2508.98
2016-03-16,2564.0799999999999
2016-03-17,3044.71
2016-03-18,142.40000000000001
2016-03-19,1920.3
2016-03-20,2142.21
2016-03-21,2317.3400000000001
2016-03-22,1778.0699999999999
2016-03-23,435.83999999999997
2016-03-24,272.54000000000002
2016-03-25,9.4900000000000002
2016-03-26,9.1699999999999999
2016-03-27,12.529999999999999
2016-03-28,15.26
2016-03-29,296.36000000000001
2016-03-30,482.76999999999998
2016-03-31,480.81999999999999
2016-04-01,486.94
2016-04-02,369.06
2016-04-03,438.29000000000002
2016-04-04,484.63999999999999
2016-04-05,475.57999999999998
2016-04-06,434.06
2016-04-07,480.14999999999998
2016-04-08,459.23000000000002
2016-04-09,455.39999999999998
2016-04-10,390.50999999999999
2016-04-11,380.5
2016-04-12,421.60000000000002
2016-04-13,498.04000000000002
2016-04-14,524.83000000000004
2016-04-15,503.42000000000002
2016-04-16,428.01999999999998
2016-04-17,493.37
2016-04-18,533.83000000000004
2016-04-19,515.38
2016-04-20,516.99000000000001
2016-04-21,436.19999999999999
2016-04-22,454.38999999999999
2016-04-23,491.37
2016-04-24,543.30999999999995
2016-04-25,549.47000000000003
2016-04-26,569.13
2016-04-27,566.87
2016-04-28,482.24000000000001
2016-04-29,306.86000000000001
2016-04-30,13.19
2016-05-01,-7.7800000000000002
2016-05-02,9.2300000000000004
2016-05-03,-26.309999999999999
2016-05-04,-17.649999999999999
2016-05-05,5.2699999999999996
2016-05-06,7.1299999999999999
2016-05-07,13.9
2016-05-08,679.82000000000005
2016-05-09,4598.2299999999996
2016-05-10,-67.870000000000005
2016-05-11,-7.7599999999999998
2016-05-12,-1.9399999999999999
2016-05-13,9.7300000000000004
2016-05-14,14.130000000000001
2016-05-15,9.9199999999999999
2016-05-16,15.32
2016-05-17,9.5999999999999996
2016-05-18,10.67
2016-05-19,4.8799999999999999
2016-05-20,10.59
2016-05-21,25.920000000000002
2016-05-22,38.700000000000003
2016-05-23,-12.369999999999999
2016-05-24,5.6200000000000001
2016-05-25,10.199999999999999
2016-05-26,-0.63
2016-05-27,-11.66
2016-05-28,-4.4800000000000004
2016-05-29,37.909999999999997
2016-05-30,57.460000000000001
2016-05-31,37.420000000000002
2016-06-01,37.420000000000002
2016-06-02,25.469999999999999
2016-06-03,19.5
2016-06-04,16.719999999999999
2016-06-05,18.170000000000002
2016-06-06,-9.6799999999999997
2016-06-07,8.5999999999999996
2016-06-08,53
2016-06-09,-19.27
2016-06-10,17.41
2016-06-11,20.629999999999999
2016-06-12,36.810000000000002
2016-06-13,53.020000000000003
2016-06-14,40.460000000000001
2016-06-15,44.189999999999998
2016-06-16,53.009999999999998
2016-06-17,29.140000000000001
2016-06-18,38.490000000000002
2016-06-19,36.140000000000001
2016-06-20,34.369999999999997
2016-06-21,18.359999999999999
2016-06-22,15.529999999999999
2016-06-23,-7.0800000000000001
2016-06-24,-91.469999999999999
2016-06-25,37.079999999999998
2016-06-26,51.649999999999999
2016-06-27,41.270000000000003
2016-06-28,43.82
2016-06-29,71.519999999999996
2016-06-30,8.3699999999999992
2016-07-01,29.43
2016-07-02,42.850000000000001
2016-07-03,49.140000000000001
2016-07-04,28.02
2016-07-05,8.9299999999999997
2016-07-06,40.869999999999997
2016-07-07,56.719999999999999
2016-07-08,68.75
2016-07-09,101.81
2016-07-10,195.72999999999999
2016-07-11,54.380000000000003
2016-07-12,-69.109999999999999
2016-07-13,-98.590000000000003
2016-07-14,79.829999999999998
2016-07-15,5023.5500000000002
2016-07-16,8550.75
2016-07-17,8882.3099999999995
2016-07-18,8376.1000000000004
2016-07-19,12036.620000000001
2016-07-20,19193.73
2016-07-21,22449.880000000001
2016-07-22,8599.5599999999995
2016-07-23,-188.81999999999999
2016-07-24,372.64999999999998
2016-07-25,137.24000000000001
2016-07-26,2760.1500000000001
2016-07-27,267.38
2016-07-28,22798.98
2016-07-29,33748.790000000001
2016-07-30,34152.610000000001
2016-07-31,30119.509999999998
2016-08-01,14652.129999999999
2016-08-02,1031.73
2016-08-03,2044.55
2016-08-04,23211.669999999998
2016-08-05,48353.290000000001
2016-08-06,47464.800000000003
2016-08-07,46831.019999999997
2016-08-08,48140.470000000001
2016-08-09,24502.02
2016-08-10,-16193.18
2016-08-11,13012.620000000001
2016-08-12,24707.82
2016-08-13,15879.469999999999
2016-08-14,17285.959999999999
2016-08-15,18833.82
2016-08-16,19403.68
2016-08-17,17838.869999999999
2016-08-18,13947.77
2016-08-19,508.97000000000003
2016-08-20,454.88999999999999
2016-08-21,709.38
2016-08-22,7458.0299999999997
2016-08-23,11847.15
2016-08-24,16468.799999999999
2016-08-25,18155.169999999998
2016-08-26,20985.110000000001
2016-08-27,26330.529999999999
2016-08-28,27527.630000000001
2016-08-29,8870.7800000000007
2016-08-30,27772.52
2016-08-31,24727.52
2016-09-01,28255.869999999999
2016-09-02,29470.82
2016-09-03,18291.310000000001
2016-09-04,22138.73
2016-09-05,23656.240000000002
2016-09-06,25698.27
2016-09-07,29526.139999999999
2016-09-08,39217.040000000001
2016-09-09,16802.459999999999
2016-09-10,10373.450000000001
2016-09-11,13351.209999999999
2016-09-12,24639.450000000001
2016-09-13,34922.860000000001
2016-09-14,5758.79
2016-09-15,42061.160000000003
2016-09-16,59770.209999999999
2016-09-17,38314.589999999997
2016-09-18,31997.98
2016-09-19,56302.900000000001
2016-09-20,47514.379999999997
2016-09-21,23341.98
2016-09-22,51712.760000000002
2016-09-23,47211.93
2016-09-24,32444.02
2016-09-25,32779.870000000003
2016-09-26,31428.299999999999
2016-09-27,32479.580000000002
2016-09-28,23981.849999999999
2016-09-29,-52.020000000000003
2016-09-30,-87.239999999999995
2016-10-01,11871.26
2016-10-02,12121.879999999999
2016-10-03,4478.0200000000004
2016-10-04,10750.48
2016-10-05,58473.82
2016-10-06,71864.330000000002
2016-10-07,61727.25
2016-10-08,80298.320000000007
2016-10-09,58904.129999999997
2016-10-10,6127.4899999999998
2016-10-11,37026.800000000003
2016-10-12,53581.559999999998
2016-10-13,72763.080000000002
2016-10-14,80592.75
2016-10-15,73996.509999999995
2016-10-16,28590.919999999998
2016-10-17,19932.259999999998
2016-10-18,8857.7700000000004
2016-10-19,39583.720000000001
2016-10-20,56674.919999999998
2016-10-21,20411.110000000001
2016-10-22,41303.989999999998
2016-10-23,57843.410000000003
2016-10-24,63870.919999999998
2016-10-25,56661.879999999997
2016-10-26,44510.260000000002
2016-10-27,51959.040000000001
2016-10-28,44359.739999999998
2016-10-29,40862.839999999997
2016-10-30,-2102.75
2016-10-31,17460.310000000001
2016-11-01,25758.689999999999
2016-11-02,40879.82
2016-11-03,52522.519999999997
2016-11-04,34579.110000000001
2016-11-05,20936.959999999999
2016-11-06,40117.529999999999
2016-11-07,45637.160000000003
2016-11-08,53192.050000000003
2016-11-09,54976.709999999999
2016-11-10,53974.43
2016-11-11,55646.709999999999
2016-11-12,9412.5900000000001
2016-11-13,-24827.240000000002
2016-11-14,40594.339999999997
2016-11-15,61679.120000000003
2016-11-16,66693.039999999994
2016-11-17,61631.57
2016-11-18,50189.830000000002
2016-11-19,53897.889999999999
2016-11-20,54396.68
2016-11-21,35558.5
2016-11-22,37463.099999999999
2016-11-23,29540.77
2016-11-24,36110.849999999999
2016-11-25,32802.25
2016-11-26,33790.160000000003
2016-11-27,35177.43
2016-11-28,31769.040000000001
2016-11-29,24269.110000000001
2016-11-30,22869.389999999999
2016-12-01,-9999
2016-12-02,-9999
2016-12-03,-9999
2016-12-04,-9999
2016-12-05,-9999
2016-12-06,-9999
2016-12-07,-9999
2016-12-08,-9999
2016-12-09,-9999
2016-12-10,-9999
2016-12-11,-9999
2016-12-12,-9999
2016-12-13,-9999
2016-12-14,-9999
2016-12-15,-9999
2016-12-16,-9999
2016-12-17,-9999
2016-12-18,-9999
2016-12-19,-9999
2016-12-20,-9999
2016-12-21,-9999
2016-12-22,-9999
2016-12-23,-9999
2016-12-24,-9999
2016-12-25,-9999
2016-12-26,-9999
2016-12-27,-9999
2016-12-28,-9999
2016-12-29,-9999
2016-12-30,-9999
2016-12-31,-9999
2017-01-01,49537.809999999998
2017-01-02,58035.889999999999
2017-01-03,64250.419999999998
2017-01-04,48537.610000000001
2017-01-05,22617.299999999999
2017-01-06,14117.48
2017-01-07,12100.02
2017-01-08,10219
2017-01-09,10815.08
2017-01-10,10500.43
2017-01-11,9961.5300000000007
2017-01-12,11657.65
2017-01-13,6570.8999999999996
2017-01-14,4418.6700000000001
2017-01-15,7032.6800000000003
2017-01-16,9496.6599999999999
2017-01-17,8712.0499999999993
2017-01-18,7484.6300000000001
2017-01-19,8801.5699999999997
2017-01-20,6820
2017-01-21,8472.75
2017-01-22,8694.8400000000001
2017-01-23,8028.3900000000003
2017-01-24,6416.1700000000001
2017-01-25,7811.9899999999998
2017-01-26,7839.54
2017-01-27,8157.8599999999997
2017-01-28,7715.7200000000003
2017-01-29,7950.3100000000004
2017-01-30,6994.3000000000002
2017-01-31,6780.3999999999996
2017-02-01,7441.4300000000003
2017-02-02,7132.4499999999998
2017-02-03,7373.9899999999998
2017-02-04,7545.8400000000001
2017-02-05,7257.0799999999999
2017-02-06,6798.4799999999996
2017-02-07,5727.8100000000004
2017-02-08,4386.7799999999997
2017-02-09,2984.9899999999998
2017-02-10,2215.4200000000001
2017-02-11,1361.6500000000001
2017-02-12,1091.53
2017-02-13,2123.3200000000002
2017-02-14,2966.29
2017-02-15,2792.3899999999999
2017-02-16,2511.0300000000002
2017-02-17,1551.8599999999999
2017-02-18,959.58000000000004
2017-02-19,933.90999999999997
2017-02-20,2027.0599999999999
2017-02-21,3073.54
2017-02-22,2646.8200000000002
2017-02-23,1834.05
2017-02-24,2114.9899999999998
2017-02-25,1243.8299999999999
2017-02-26,1398.97
2017-02-27,5600.4499999999998
2017-02-28,7620.8299999999999
2017-03-01,6956.3599999999997
2017-03-02,7065.8999999999996
2017-03-03,9387.0300000000007
2017-03-04,8695.7299999999996
2017-03-05,7949.5299999999997
2017-03-06,8451.2399999999998
2017-03-07,7870.29
2017-03-08,7077.6599999999999
2017-03-09,6950.9499999999998
2017-03-10,6522.29
2017-03-11,5467.9200000000001
2017-03-12,3534.9899999999998
2017-03-13,3237.1999999999998
2017-03-14,5437.8900000000003
2017-03-15,5269.4300000000003
2017-03-16,1445.46
2017-03-17,3921.0599999999999
2017-03-18,4490.1599999999999
2017-03-19,4185.5799999999999
2017-03-20,3427.5700000000002
2017-03-21,2018.3900000000001
2017-03-22,2047.6800000000001
2017-03-23,3293.52
2017-03-24,4889.3199999999997
2017-03-25,4246.2600000000002
2017-03-26,4533.2200000000003
2017-03-27,2739.0900000000001
2017-03-28,2267.25
2017-03-29,349.80000000000001
2017-03-30,-462.56999999999999
2017-03-31,1726.47
2017-04-01,1470.24
2017-04-02,2027.3499999999999
2017-04-03,2530.7600000000002
2017-04-04,2835.9699999999998
2017-04-05,4669.5200000000004
2017-04-06,6504.4300000000003
2017-04-07,4333.8500000000004
2017-04-08,10.44
2017-04-09,-17.649999999999999
2017-04-10,-0.66000000000000003
2017-04-11,14.720000000000001
2017-04-12,3623.0900000000001
2017-04-13,2977.8000000000002
2017-04-14,13.1
2017-04-15,13.6
2017-04-16,11.58
2017-04-17,18.469999999999999
2017-04-18,1120.74
2017-04-19,2100.1999999999998
2017-04-20,2003.5899999999999
2017-04-21,1956.96
2017-04-22,2197.8000000000002
2017-04-23,2273.27
2017-04-24,1250.74
2017-04-25,548.23000000000002
2017-04-26,-235.91
2017-04-27,13.02
2017-04-28,10.81
2017-04-29,15.52
2017-04-30,21.239999999999998
2017-05-01,13.41
2017-05-02,14.85
2017-05-03,4666.0299999999997
2017-05-04,2099.5300000000002
2017-05-05,1791.9100000000001
2017-05-06,1097.45
2017-05-07,1300.3900000000001
2017-05-08,1699.9300000000001
2017-05-09,2294.8099999999999
2017-05-10,2417.6799999999998
2017-05-11,2135.29
2017-05-12,2202.2800000000002
2017-05-13,2346.6900000000001
2017-05-14,2361.5599999999999
2017-05-15,2472.54
2017-05-16,2845.71
2017-05-17,2253.8899999999999
2017-05-18,2252.6399999999999
2017-05-19,7383.5500000000002
2017-05-20,11974.290000000001
2017-05-21,13656.040000000001
2017-05-22,12363.360000000001
2017-05-23,4351.4200000000001
2017-05-24,545.96000000000004
2017-05-25,691.89999999999998
2017-05-26,505.76999999999998
2017-05-27,25.440000000000001
2017-05-28,-14.26
2017-05-29,25.620000000000001
2017-05-30,980.95000000000005
2017-05-31,2181.0100000000002
2017-06-01,2183.3600000000001
2017-06-02,2300.3899999999999
2017-06-03,2275.29
2017-06-04,2097.4099999999999
2017-06-05,1892.8900000000001
2017-06-06,1940.3399999999999
2017-06-07,2084.29
2017-06-08,2009.1700000000001
2017-06-09,2043.78
2017-06-10,2091.6500000000001
2017-06-11,2017.1700000000001
2017-06-12,1889.99
2017-06-13,2015.8199999999999
2017-06-14,2044.5999999999999
2017-06-15,1928.54
2017-06-16,1909.1700000000001
2017-06-17,1897.5899999999999
2017-06-18,1864.21
2017-06-19,1911.1500000000001
2017-06-20,1911.5599999999999
2017-06-21,1892.04
2017-06-22,2043.5599999999999
2017-06-23,1546.45
2017-06-24,843.35000000000002
2017-06-25,825.03999999999996
2017-06-26,909.10000000000002
2017-06-27,1623.53
2017-06-28,1980.9300000000001
2017-06-29,9423.8299999999999
2017-06-30,15910.129999999999
2017-07-01,8827.2900000000009
